district,schooldbn,name,neighborhood,address,coursepassrate,elaprof,mathprof,totalstudents,surveysafety,ellprograms,languageclasses,acceleratedclasses,electiveclasses,activities,accessibility,year
4.0,04M012,Tag Young Scholars (04M012),East Harlem,"240 EAST 109 STREET, MANHATTAN NY 10029",99.0,95.0,95.0,601.0,92.0,English as a New Language,Spanish,"Algebra I,English,Living Environment,Spanish,US History",,"Art, Chorus, Spelling Bee, Latin Jazz Band",Partially Accessible,2020
4.0,04M057,James Weldon Johnson (04M057),East Harlem,"176 EAST 115 STREET, MANHATTAN NY 10029",81.0,28.0,12.0,805.0,77.0,English as a New Language;Dual Language: Spanish,,"Algebra I,Living Environment",,,Not Accessible,2020
4.0,04M072,The Lexington Academy (04M072),East Harlem,"131 EAST 104 STREET, MANHATTAN NY 10029",82.0,26.0,17.0,646.0,79.0,English as a New Language;Dual Language: Spanish,,Living Environment,,,Not Accessible,2020
4.0,04M096,P.S. 096 Joseph Lanzetta (04M096),East Harlem,"216 EAST 120 STREET, MANHATTAN NY 10035",93.0,15.0,11.0,394.0,78.0,English as a New Language;Dual Language: Spanish,,Algebra I,,"Art, Chess, Coding, Gardening, Leadership, Music, Saturday Academy, School Newspaper, STEM, Technology, Visual Arts, Maker Space",Not Accessible,2020
4.0,04M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex (04M108),East Harlem,"1615 MADISON AVENUE, MANHATTAN NY 10029",87.0,26.0,16.0,470.0,84.0,English as a New Language,,,,,Not Accessible,2020
9.0,09X594,New Pathways Academy (09X594),,"1000 TELLER AVENUE, BRONX NY 10456",,,,197.0,,English as a New Language,Spanish,,,,Not Accessible,2020
4.0,04M206,P.S. 206 Jose Celso Barbosa (04M206),East Harlem,"508 EAST 120 STREET, MANHATTAN NY 10035",79.0,22.0,17.0,477.0,79.0,English as a New Language;Dual Language: Spanish,Spanish,Algebra I,,"Art, Music, Saturday Academy, Service Learning, Spelling Bee, Technology",Not Accessible,2020
4.0,04M224,M.S. 224 Manhattan East School for Arts & Academics (04M224),East Harlem,"410 EAST 100 STREET, MANHATTAN NY 10029",93.0,53.0,41.0,185.0,88.0,English as a New Language,Spanish,"Algebra I,Earth Science,US History",,"Art, Band, Dance, Debate, Gardening, Restorative Circles, Talent Show, Tutoring, Yearbook",Not Accessible,2020
4.0,04M372,Esperanza Preparatory Academy (04M372),East Harlem,"240 EAST 109 STREET, MANHATTAN NY 10029",98.0,16.0,17.0,569.0,80.0,English as a New Language;Dual Language: Spanish,Spanish,"Algebra I,Living Environment,Spanish,US History",,,Partially Accessible,2020
4.0,04M377,Renaissance School of the Arts (04M377),East Harlem,"319 EAST 117 STREET, MANHATTAN NY 10035",88.0,31.0,28.0,168.0,88.0,English as a New Language,,"Algebra I,Living Environment",,,Not Accessible,2020
5.0,05M148,Eagle Academy for Young Men of Harlem (05M148),Harlem,"6 EDGECOMBE AVENUE, MANHATTAN NY 10030",94.0,15.0,4.0,374.0,63.0,English as a New Language,Spanish,"Algebra I,Living Environment",,"Art, Band, Chess, Coding, Comic Book Club, Creative Writing, Debate, Engineering, Guitar, Music, Musical Theater, Peer Mediation, Photography, Restorative Circles, Service Learning, Spelling Bee, Student Council, Technology, Theater, Urban Arts, Video Game Club, Visual Arts, Yearbook",Not Accessible,2020
4.0,04M610,Young Women's Leadership School (04M610),East Harlem,"105 EAST 106TH STREET, NEW YORK NY 10029",97.0,63.0,43.0,480.0,92.0,English as a New Language,Spanish,Algebra I,,,Fully Accessible,2020
4.0,04M825,Isaac Newton Middle School for Math & Science (04M825),East Harlem,"260 PLEASANT AVENUE, MANHATTAN NY 10029",97.0,41.0,26.0,240.0,87.0,English as a New Language,Spanish,"Algebra I,Global History,Living Environment,Spanish",,"Peer Mediation, Robotics, School Newspaper, Spelling Bee, STEM",Partially Accessible,2020
4.0,04M964,Central Park East II (04M964),East Harlem,"433 EAST 100 STREET, MANHATTAN NY 10029",96.0,24.0,9.0,483.0,71.0,English as a New Language,Spanish,,,"Art, Cooking, Dance, Yearbook",Partially Accessible,2020
5.0,05M046,P.S. 046 Arthur Tappan (05M046),Washington Heights,"2987 FREDERICK DOUGLASS BOULEVARD, MANHATTAN NY 10039",79.0,24.0,8.0,630.0,77.0,English as a New Language,Spanish,,,"Book Club, Coding, Engineering, Fitness, Lego Robotics, Robotics, Saturday Academy, Spelling Bee, STEM, Technology",Not Accessible,2020
5.0,05M123,P.S. 123 Mahalia Jackson (05M123),Harlem,"301 WEST 140 STREET, MANHATTAN NY 10030",90.0,31.0,13.0,471.0,84.0,English as a New Language,,,,"Book Club, Chess, Chorus, Coding, Comic Book Club, Creative Writing, Debate, Fitness, Leadership, Peer Mediation, Saturday Academy, Theater, Visual Arts, Yearbook, Yoga",Not Accessible,2020
5.0,05M161,P.S. 161 Pedro Albizu Campos (05M161),Manhattanville,"499 WEST 133 STREET, MANHATTAN NY 10027",85.0,28.0,19.0,806.0,80.0,English as a New Language;Dual Language: Spanish,,Algebra I,,,Not Accessible,2020
5.0,05M286,Urban Assembly Academy for Future Leaders (05M286),Manhattanville,"509 WEST 129 STREET, MANHATTAN NY 10027",75.0,22.0,7.0,125.0,77.0,English as a New Language,,"Algebra I,US History",,,Not Accessible,2020
5.0,05M362,Columbia Secondary School (05M362),Morningside Heights,"425 WEST 123 STREET, MANHATTAN NY 10027",95.0,85.0,84.0,718.0,87.0,English as a New Language,Latin;Spanish,"Algebra I,Earth Science,Geometry,US History",,,Partially Accessible,2020
5.0,05M371,M.S. 371 (05M371),,"425 West 130 Street, New York NY 10027",,,,,,English as a New Language,,,,"Advisory, Camping, Cooking, Gardening, Hiking, Performing Arts, Science Exploration, Spoken Word/Poetry",Not Accessible,2020
5.0,05M499,Frederick Douglass Academy (05M499),Harlem,"2581 7TH AVENUE, MANHATTAN NY 10039",92.0,18.0,8.0,1257.0,65.0,English as a New Language,French,US History,,,Partially Accessible,2020
5.0,05M514,New Design Middle School (05M514),Manhattanville,"625 WEST 133 STREET, MANHATTAN NY 10027",75.0,22.0,11.0,142.0,69.0,English as a New Language,Spanish,,,"Book Club, Chess, Dance, Fashion, Glee Club, Homework Help, Restorative Circles, Saturday Academy, Spelling Bee, Student Council, Technology, Theater, Tutoring, Video Game Club, Yearbook",Fully Accessible,2020
5.0,05M670,Thurgood Marshall Academy for Learning and Social Change (05M670),Harlem,"200-214 WEST 135TH STREET, MANHATTAN NY 10030",79.0,32.0,19.0,560.0,82.0,English as a New Language,,,,"Art, Book Club, Coding, Dance, Debate, Drama, Fitness, Leadership, Music, National Junior Honor Society, Restorative Circles, School Newspaper, STEM, Visual Arts, Yearbook",Fully Accessible,2020
6.0,06M018,P.S. 018 Park Terrace (06M018),Inwood,"4124 9 AVENUE, MANHATTAN NY 10034",65.0,18.0,11.0,357.0,90.0,English as a New Language;Transitional Bilingual Education: Spanish,,Algebra I,,"Art, Band, Chess, Debate, Music, Saturday Academy, STEM, Student Council, Technology, Urban Arts",Partially Accessible,2020
6.0,06M052,Harold O. Levy School (06M052),Inwood,"650 ACADEMY STREET, MANHATTAN NY 10034",98.0,22.0,16.0,261.0,90.0,English as a New Language;Transitional Bilingual Education: Spanish,Spanish,"Algebra I,Spanish",,,Not Accessible,2020
6.0,06M143,J.H.S. 143 Eleanor Roosevelt (06M143),Washington Heights,"511 WEST 182ND STREET, MANHATTAN NY 10033",88.0,20.0,12.0,247.0,82.0,English as a New Language;Transitional Bilingual Education: Spanish,,"Algebra I,Living Environment",,"Art, Coding, National Junior Honor Society, Robotics, Saturday Academy, Student Council, Tutoring",Partially Accessible,2020
6.0,06M187,P.S./I.S. 187 Hudson Cliffs (06M187),Washington Heights,"349 CABRINI BOULEVARD, MANHATTAN NY 10040",100.0,60.0,51.0,775.0,94.0,English as a New Language,Spanish,,,"Art, Band, Choir, Homework Help, Math Team, Musical Theater, Rock Band, Saturday Academy, Student Council, Talent Show, Visual Arts, Yearbook",Not Accessible,2020
6.0,06M209,Hamilton Grange Middle School (06M209),Hamilton Heights,"500 WEST 138 STREET, MANHATTAN NY 10031",96.0,33.0,28.0,295.0,94.0,English as a New Language,,"Algebra I,Living Environment",,"Art, Band, Book Club, Coding, Comic Book Club, Dance, Debate, Drama, Engineering, Fitness, Gardening, Green Team, Homework Help, Leadership, Lego Robotics, Math Team, Music, Musical Theater, Peer Mediation, Restorative Circles, Robotics, Saturday Academy, School Newspaper, Science Club, Science Olympiad, Service Learning, STEM, Student Council, Technology, Theater, Tutoring, Visual Arts, Yearbook, Yoga",Partially Accessible,2020
6.0,06M210,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership (06M210),Hamilton Heights,"501-503 WEST 152 STREET, MANHATTAN NY 10031",98.0,39.0,23.0,425.0,94.0,English as a New Language;Dual Language: Spanish,Spanish,"Algebra I,Living Environment,Spanish",,"Art, Book Club, Choir, Chorus, Coding, Cooking, Creative Writing, Dance, Drama, Fitness, Gardening, Homework Help, Leadership, Music, Musical Theater, Service Learning, Student Council, Technology, Theater, Tutoring, Visual Arts",Fully Accessible,2020
6.0,06M223,The Mott Hall School (06M223),Manhattanville,"71-111 CONVENT AVE, MANHATTAN NY 10027",96.0,76.0,80.0,300.0,97.0,English as a New Language,French,"Algebra I,Living Environment",,,Partially Accessible,2020
6.0,06M278,Paula Hedbavny School (06M278),Inwood,"421 W 219TH ST, MANHATTAN NY 10034",90.0,59.0,51.0,551.0,94.0,English as a New Language,,Algebra I,,"Art, Band, Chorus, Green Team, Guitar, Music, Musical Theater, Photography, Saturday Academy, Student Council, Technology, Visual Arts, Yearbook",Partially Accessible,2020
6.0,06M293,City College Academy of the Arts (06M293),Washington Heights,"4600 BROADWAY, MANHATTAN NY 10040",93.0,54.0,42.0,608.0,90.0,English as a New Language,,"Algebra I,English,Living Environment,US History",,"Chess, Debate, Drama, Gardening, Homework Help, Saturday Academy, Service Learning, Student Council, Talent Show, Tutoring, Visual Arts, Yearbook, hydroponics, aquaponics",Fully Accessible,2020
6.0,06M311,Amistad Dual Language School (06M311),Inwood,"4862 BROADWAY, MANHATTAN NY 10034",93.0,56.0,30.0,404.0,84.0,English as a New Language;Dual Language: Spanish,Spanish,"Algebra I,Spanish",,"Art, Choir, Chorus, Dance, Drama, Fitness, Music, Musical Theater, Saturday Academy, School Newspaper, STEM, Student Council, Theater, Tutoring, Visual Arts, Yearbook",Fully Accessible,2020
6.0,06M319,M.S. 319 - Maria Teresa (06M319),Washington Heights,"21 JUMEL PLACE, MANHATTAN NY 10032",91.0,28.0,27.0,385.0,94.0,English as a New Language;Dual Language: Spanish;Transitional Bilingual Education: Spanish,Spanish,Algebra I,,"Art, Band, Chess, Chorus, Coding, Dance, Debate, Drama, Fitness, French Club, Homework Help, Latin Dance, Leadership, Music, Robotics, Rock Band, Saturday Academy, STEM, Technology, Tutoring, Visual Arts, Yearbook",Fully Accessible,2020
6.0,06M322,Middle School 322 (06M322),Washington Heights,"4600 BROADWAY, MANHATTAN NY 10040",92.0,28.0,22.0,400.0,85.0,English as a New Language;Dual Language: Spanish;Transitional Bilingual Education: Spanish,Spanish,Algebra I,,"Art, Chorus, Coding, Debate, Drama, Engineering, Homework Help, Robotics, Saturday Academy, Science Club, STEM, Visual Arts",Fully Accessible,2020
6.0,06M324,M.S. 324 - Patria Mirabal (06M324),Washington Heights,"21 JUMEL PLACE, MANHATTAN NY 10032",93.0,27.0,35.0,340.0,89.0,English as a New Language;Transitional Bilingual Education: Spanish,,"Algebra I,Living Environment",,"Art, Band, Chess, Chorus, Debate, Fashion, Fitness, Gardening, Green Team, Guitar, Homework Help, Leadership, Math Team, Music, Musical Theater, Peer Mediation, Restorative Circles, Robotics, Saturday Academy, Science Club, STEM, Student Council, Talent Show, Technology, Theater, Tutoring, Urban Arts, Visual Arts, Yearbook",Fully Accessible,2020
8.0,08X071,P.S. 071 Rose E. Scala (08X071),Pelham Bay,"3040 ROBERTS AVENUE, BRONX NY 10461",92.0,48.0,46.0,1567.0,78.0,English as a New Language,Spanish,"Algebra I,English",,"Art, Chess, Comic Book Club, Cooking, Dance, Drama, Math Team, National Junior Honor Society, Peer Mediation, Restorative Circles, Student Council, Talent Show, Technology, Wrestling, Mock Trial",Not Accessible,2020
6.0,06M328,Community Math & Science Prep (06M328),Washington Heights,"401 WEST 164 STREET, MANHATTAN NY 10032",87.0,10.0,11.0,210.0,84.0,English as a New Language;Dual Language: Spanish;Transitional Bilingual Education: Spanish,Spanish,,,,Not Accessible,2020
6.0,06M346,Community Health Academy of the Heights (06M346),Washington Heights,"504 WEST 158TH STREET, MANHATTAN NY 10032",81.0,40.0,27.0,713.0,92.0,English as a New Language,Spanish,"Algebra I,Earth Science",,,Fully Accessible,2020
6.0,06M348,Washington Heights Expeditionary Learning School (06M348),Washington Heights,"511 WEST 182ND STREET, MANHATTAN NY 10033",93.0,33.0,15.0,864.0,89.0,English as a New Language;Dual Language: Spanish,Spanish,"Algebra I,Spanish",,,Partially Accessible,2020
6.0,06M349,Harbor Heights (06M349),Washington Heights,"306 FORT WASHINGTON AVENUE, MANHATTAN NY 10033",93.0,7.0,23.0,129.0,90.0,English as a New Language;Dual Language: Spanish,Spanish,Spanish,,"Art, Book Club, Chess, Dance, Debate, Drama, Fitness, Green Team, Guitar, Homework Help, Leadership, Lego Robotics, Math Team, Photography, Restorative Circles, Robotics, Saturday Academy, Science Club, Service Learning, STEM, Student Council, Technology, Theater, Tutoring, Visual Arts, Yearbook",Partially Accessible,2020
6.0,06M366,Washington Heights Academy (06M366),Inwood,"202 SHERMAN AVE, MANHATTAN NY 10034",98.0,70.0,77.0,589.0,94.0,English as a New Language,Spanish,Algebra I,,"Dance, Homework Help, Musical Theater, Saturday Academy, Service Learning, Student Council, Yearbook",Fully Accessible,2020
6.0,06M528,I.S. 528 Bea Fuller Rodgers School (06M528),Washington Heights,"180 WADSWORTH AVENUE, MANHATTAN NY 10033",84.0,32.0,21.0,233.0,82.0,English as a New Language;Transitional Bilingual Education: Spanish,Spanish,"Algebra I,Living Environment",,,Partially Accessible,2020
7.0,07X005,P.S. 5 Port Morris (07X005),Melrose,"564 JACKSON AVENUE, BRONX NY 10455",73.0,23.0,14.0,729.0,79.0,English as a New Language;Dual Language: Spanish;Transitional Bilingual Education: Spanish,Spanish,,,"Art, Drama, Gardening, Green Team, Math Team, Music, Musical Theater, Student Council, Talent Show, Theater, Yearbook",Not Accessible,2020
7.0,07X029,P.S./M.S. 029 Melrose School (07X029),Melrose,"758 COURTLANDT AVENUE, BRONX NY 10451",80.0,18.0,11.0,795.0,84.0,English as a New Language;Transitional Bilingual Education: Spanish,,,,"Art, Book Club, Chess, Coding, Comic Book Club, Dance, Debate, Fashion, Gardening, Green Team, Leadership, Math Team, Peer Mediation, Restorative Circles, Robotics, Saturday Academy, School Newspaper, Spelling Bee, STEM, Step Team, Student Council, Talent Show, Visual Arts, Yearbook",Not Accessible,2020
7.0,07X031,P.S./M.S. 031 The William Lloyd Garrison (07X031),Concourse,"250 EAST 156 STREET, BRONX NY 10451",79.0,17.0,12.0,716.0,87.0,English as a New Language,,"Algebra I,Earth Science,Living Environment,US History",,"Art, Band, Dance, Fitness, Homework Help, Saturday Academy, Student Council",Partially Accessible,2020
7.0,07X151,J.H.S. 151 Lou Gehrig (07X151),Concourse,"250 EAST 156 STREET, BRONX NY 10451",86.0,16.0,6.0,230.0,79.0,English as a New Language;Transitional Bilingual Education: Spanish,,,,"Art, Chess, Coding, Comic Book Club, Debate, Leadership, Peer Mediation, Restorative Circles, Student Council, Visual Arts, Yearbook",Partially Accessible,2020
7.0,07X221,South Bronx Preparatory: A College Board School (07X221),Mott Haven,"360 EAST 145 STREET, BRONX NY 10454",91.0,36.0,26.0,657.0,96.0,English as a New Language,Spanish,,,"Art, Book Club, Chess, Coding, Drama, Homework Help, Lego Robotics, Musical Theater, Restorative Circles, Student Council, Talent Show, Theater, Visual Arts, Yearbook, Lincoln Center Education-Arts Matters",Not Accessible,2020
7.0,07X223,The Laboratory School of Finance and Technology: X223 (07X223),Mott Haven,"360 EAST 145 STREET, BRONX NY 10454",92.0,48.0,47.0,662.0,90.0,English as a New Language;Dual Language: Spanish,Spanish,"Algebra I,Living Environment,Spanish",,"Art, Band, Book Club, Chess, Choir, Chorus, Coding, Comic Book Club, Cooking, Creative Writing, Dance, Debate, Drama, Engineering, Fashion, Fitness, Gardening, Glee Club, Green Team, Guitar, Homework Help, Latin Dance, Leadership, Lego Robotics, Math Team, Music, Musical Theater, National Junior Honor Society, Peer Mediation, Photography, Robotics, Rock Band, Saturday Academy, School Newspaper, Science Club, Science Olympiad, Service Learning, Spelling Bee, STEM, Step Team, Student Council, Talent Show, Technology, Theater, Tutoring, Urban Arts, Video Game Club, Visual Arts, Yearbook, Yoga",Not Accessible,2020
7.0,07X224,Science School for Exploration and Discovery (M.S. 224)  (07X224),Mott Haven,"345 BROOK AVENUE, BRONX NY 10454",95.0,16.0,2.0,328.0,62.0,English as a New Language;Transitional Bilingual Education: Spanish,Spanish,,,"Art, Chorus, Coding, Dance, Debate, Homework Help, Musical Theater, Restorative Circles, Saturday Academy, STEM, Student Council, Technology, Theater, Tutoring, Video Game Club, Visual Arts, Yearbook",Not Accessible,2020
7.0,07X296,South Bronx Academy for Applied Media (07X296),Melrose,"778 FOREST AVENUE, BRONX NY 10456",88.0,23.0,10.0,231.0,78.0,English as a New Language,French,,,"Band, Book Club, Chess, Chorus, Comic Book Club, Cooking, Creative Writing, Dance, Fashion, Fitness, Homework Help, Leadership, Musical Theater, National Junior Honor Society, Peer Mediation, Photography, Robotics, School Newspaper, Service Learning, Spelling Bee, Step Team, Student Council, Talent Show, Theater, Video Game Club, Yearbook, Yoga",Partially Accessible,2020
27.0,27Q042,P.S./M.S 042 R. Vernam (27Q042),Arverne,"488 BEACH 66 STREET, QUEENS NY 11692",83.0,17.0,5.0,642.0,91.0,English as a New Language,,Algebra I,,"Art, Chorus, Coding, Homework Help, Math Team, Music, Musical Theater, Peer Mediation, Saturday Academy, Student Council, Technology, Theater, Tutoring, Yearbook",Partially Accessible,2020
7.0,07X298,Academy of Public Relations (07X298),Melrose,"778 FOREST AVENUE, BRONX NY 10456",98.0,22.0,5.0,266.0,81.0,English as a New Language;Transitional Bilingual Education: Spanish,,,,"Art, Dance, Debate, Drama, Fitness, Homework Help, Leadership, Musical Theater, Peer Mediation, Restorative Circles, Saturday Academy, Student Council, Technology, Theater, Visual Arts, Yearbook, In-school Residencies",Partially Accessible,2020
7.0,07X343,Academy of Applied Mathematics and Technology (07X343),Mott Haven,"345 BROOK AVENUE, BRONX NY 10454",96.0,36.0,40.0,307.0,93.0,English as a New Language,,"Algebra I,Living Environment",,"Art, Dance, Debate, Homework Help, Lego Robotics, Music, Robotics, Saturday Academy, Spelling Bee, Student Council, Technology",Not Accessible,2020
7.0,07X500,Hostos-Lincoln Academy of Science (07X500),Melrose,"600 SAINT ANN'S AVENUE, BRONX NY 10455",85.0,50.0,20.0,547.0,89.0,English as a New Language,Spanish,"Algebra I,Earth Science,Spanish,US History",,"Art, Book Club, Chess, Coding, Creative Writing, Drama, Fitness, Guitar, Homework Help, Math Team, National Junior Honor Society, Robotics, Science Club, Technology, Theater, Tutoring, Visual Arts, Yearbook, Yoga",Partially Accessible,2020
7.0,07X551,The Urban Assembly Bronx Academy of Letters (07X551),Mott Haven,"339 MORRIS AVENUE, BRONX NY 10451",83.0,23.0,10.0,587.0,84.0,English as a New Language,,"Living Environment,US History",,,Partially Accessible,2020
7.0,07X584,I.S. 584 (07X584),Melrose,"600 SAINT ANN'S AVENUE, BRONX NY 10455",70.0,21.0,5.0,247.0,72.0,English as a New Language;Dual Language: Spanish;Transitional Bilingual Education: Spanish,Spanish,"Algebra I,English,Living Environment",,"Debate, Music, Saturday Academy, STEM, Student Council, Theater, Visual Arts, Yoga",Partially Accessible,2020
27.0,27Q207,P.S. 207 Rockwood Park (27Q207),Howard Beach,"159-15 88 STREET, QUEENS NY 11414",99.0,60.0,64.0,690.0,90.0,English as a New Language,Spanish,"Algebra I,Living Environment",,"Art, Band, Lego Robotics, Theater",Partially Accessible,2020
8.0,08X101,M.S. X101 Edward R. Byrne (08X101),Throggs Neck,"2750 LAFAYETTE AVENUE, BRONX NY 10465",97.0,67.0,50.0,545.0,94.0,English as a New Language,Spanish,"Algebra I,Earth Science,English",,"Art, Band, Chess, Coding, Debate, Drama, Fitness, Leadership, Math Team, Musical Theater, National Junior Honor Society, School Newspaper, Science Olympiad, Spelling Bee, Student Council, Theater, Tutoring, Video Game Club, Visual Arts, Yearbook",Partially Accessible,2020
8.0,08X123,J.H.S. 123 James M. Kieran (08X123),Soundview,"1025 MORRISON AVENUE, BRONX NY 10472",93.0,22.0,15.0,418.0,76.0,English as a New Language,,Living Environment,,"Art, Band, Chess, Comic Book Club, Cooking, Dance, Drama, Engineering, Fitness, Homework Help, Leadership, Lego Robotics, Math Team, Music, Musical Theater, Photography, Saturday Academy, School Newspaper, Science Club, Service Learning, Spelling Bee, STEM, Step Team, Student Council, Technology, Theater, Tutoring, Yearbook, SONYC After-School, Project Based Learning, Affinity Groups, Art Club",Not Accessible,2020
8.0,08X131,J.H.S. 131 Albert Einstein (08X131),Soundview,"885 BOLTON AVENUE, BRONX NY 10473",83.0,27.0,21.0,479.0,72.0,English as a New Language,,Algebra I,,"Art, Band, Chorus, Dance, Debate, Drama, Homework Help, Latin Dance, Math Team, Music, Musical Theater, National Junior Honor Society, Robotics, Saturday Academy, School Newspaper, Science Club, Spelling Bee, STEM, Student Council, Talent Show, Theater, Visual Arts, Yearbook",Not Accessible,2020
8.0,08X269,Bronx Studio School for Writers and Artists (08X269),Longwood,"928 SIMPSON STREET, BRONX NY 10459",68.0,23.0,14.0,645.0,77.0,English as a New Language,,,,"Art, Band, Book Club, Dance, Saturday Academy, STEM, Theater, Academic Clinic/After-School Enrichment Activities, Peer Group Connections (PGC) Eighth Grade Leadership Class, Casita Maria Arts Education Program, Global Kids, Middle School Sports",Fully Accessible,2020
8.0,08X301,M.S. 301 Paul L. Dunbar (08X301),South Bronx,"890 CAULDWELL AVENUE, BRONX NY 10456",74.0,14.0,11.0,242.0,63.0,English as a New Language,,,,,Not Accessible,2020
8.0,08X302,M.S. 302 Luisa Dessus Cruz (08X302),Longwood,"681 KELLY STREET, BRONX NY 10455",95.0,21.0,19.0,482.0,91.0,English as a New Language,,"Algebra I,Earth Science",,,Not Accessible,2020
8.0,08X337,The School for Inquiry and Social Justice (08X337),Soundview,"1025 MORRISON AVENUE, BRONX NY 10472",92.0,45.0,45.0,503.0,89.0,English as a New Language,,US History,,"Art, Book Club, Homework Help, Leadership, Music, Student Council, Technology, Tutoring",Not Accessible,2020
8.0,08X367,"Archimedes Academy for Math, Science and Technology Applications (08X367)",Clason Point,"456 WHITE PLAINS ROAD, BRONX NY 10473",93.0,36.0,23.0,659.0,77.0,English as a New Language,,Living Environment,,"Art, Dance, Homework Help, National Junior Honor Society, Restorative Circles, STEM, Talent Show, Yearbook",Partially Accessible,2020
8.0,08X371,Urban Institute of Mathematics (08X371),Throggs Neck,"650 HOLLYWOOD AVENUE, BRONX NY 10465",76.0,52.0,27.0,378.0,87.0,English as a New Language,Spanish,"Algebra I,Living Environment,US History",,,Partially Accessible,2020
27.0,27Q297,Hawtree Creek Middle School (27Q297),South Ozone Park,"121-10 ROCKAWAY BOULEVARD, QUEENS NY 11420",98.0,45.0,27.0,376.0,94.0,English as a New Language,Spanish,"Algebra I,Living Environment",,"Art, Band, Book Club, Chorus, Debate, Guitar, Homework Help, Math Team, Music, National Junior Honor Society, Peer Mediation, School Newspaper, Science Club, Step Team, Student Council, Yearbook",Partially Accessible,2020
8.0,08X375,The Bronx Mathematics Preparatory School (08X375),Clason Point,"456 WHITE PLAINS ROAD, BRONX NY 10473",68.0,18.0,11.0,222.0,71.0,English as a New Language,,"Algebra I,Living Environment",,,Partially Accessible,2020
8.0,08X376,Antonia Pantoja Preparatory Academy: A College Board School (08X376),Castle Hill,"1980 LAFAYETTE AVENUE, BRONX NY 10473",88.0,39.0,19.0,446.0,79.0,English as a New Language,Spanish,,,"Coding, Drama, Fitness, Homework Help, Musical Theater, Spelling Bee, Tutoring",Partially Accessible,2020
8.0,08X424,The Hunts Point School (08X424),Hunts Point,"730 BRYANT AVENUE, BRONX NY 10474",93.0,10.0,6.0,300.0,79.0,English as a New Language,,,,,Partially Accessible,2020
8.0,08X448,Soundview Academy for Culture and Scholarship (08X448),Soundview,"885 BOLTON AVENUE, BRONX NY 10473",86.0,32.0,24.0,392.0,85.0,English as a New Language;Dual Language: Spanish,Spanish,"Algebra I,Living Environment",,"Coding, Dance, Debate, Fitness, Homework Help, Leadership, Restorative Circles, Saturday Academy, Service Learning, STEM, Step Team, Technology, Theater, Tutoring, Visual Arts, Yearbook",Not Accessible,2020
8.0,08X467,Mott Hall Community School (08X467),Throggs Neck,"650 HOLLYWOOD AVENUE, BRONX NY 10465",90.0,28.0,20.0,341.0,85.0,English as a New Language,Spanish,"Algebra I,Living Environment",,,Partially Accessible,2020
8.0,08X562,Blueprint Middle School (08X562),Unionport,"1111 PUGSLEY AVENUE, BRONX NY 10472",95.0,37.0,26.0,667.0,82.0,English as a New Language,Spanish,Living Environment,,"Art, Book Club, Dance, Drama, Fitness, Lego Robotics, Restorative Circles, Robotics, Science Club, STEM, Technology, Visual Arts, Yearbook, SHSAT Prep Class",Not Accessible,2020
9.0,09X004,P.S./M.S. 004 Crotona Park West (09X004),South Bronx,"1701 FULTON AVENUE, BRONX NY 10457",82.0,23.0,38.0,549.0,98.0,English as a New Language,,,,"Art, Restorative Circles",Not Accessible,2020
9.0,09X022,J.H.S. 022 Jordan L. Mott (09X022),Concourse,"270 EAST 167 STREET, BRONX NY 10456",51.0,18.0,12.0,420.0,81.0,English as a New Language,,,,"Art, Dance, Debate, Fitness, Peer Mediation, Restorative Circles, Saturday Academy, Student Council, Talent Show, Visual Arts, Yearbook",Not Accessible,2020
9.0,09X117,I.S. 117 Joseph H. Wade (09X117),Tremont,"1865 MORRIS AVENUE, BRONX NY 10453",91.0,16.0,8.0,488.0,72.0,English as a New Language;Transitional Bilingual Education: Spanish,Spanish,"Algebra I,Living Environment",,,Not Accessible,2020
9.0,09X128,Mott Hall III (09X128),South Bronx,"580 CROTONA PARK SOUTH, BRONX NY 10456",96.0,61.0,52.0,353.0,91.0,English as a New Language,,"Algebra I,Living Environment",,"Art, Band, Book Club, Chess, Choir, Coding, Creative Writing, Dance, Drama, Homework Help, Leadership, National Junior Honor Society, Peer Mediation, Service Learning, Spelling Bee, Student Council, Technology, Tutoring, Yearbook",Not Accessible,2020
9.0,09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School (09X218),Concourse,"1220 GERARD AVENUE, BRONX NY 10452",94.0,40.0,30.0,1036.0,91.0,English as a New Language;Dual Language: Spanish,,"Algebra I,Living Environment",,"Art, Debate, Gardening, Music, Musical Theater, Restorative Circles, Saturday Academy, Student Council, Yearbook, LaCross",Fully Accessible,2020
9.0,09X219,I.S. 219 New Venture School (09X219),South Bronx,"3630 THIRD AVENUE, BRONX NY 10456",88.0,21.0,10.0,344.0,79.0,English as a New Language;Transitional Bilingual Education: Spanish,,,,"Art, Book Club, Chess, Coding, Debate, Engineering, Homework Help, Lego Robotics, Restorative Circles, Saturday Academy, School Newspaper, Spelling Bee, STEM, Step Team, Student Council, Technology, Visual Arts, Yearbook, Yoga",Not Accessible,2020
